"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-1-77",,,,"User:","isucon"
"Cmdline:","dstat -tam --output=dstat.csv",,,,"Date:","22 Aug 2016 23:04:21 JST"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"memory usage",,,
22-08 23:04:43,79.899,14.573,1.508,0.503,0.0,3.518,39149568.0,2621440.0,0.0,0.0,0.0,0.0,7094.0,17726.0,428335104.0,36818944.0,518037504.0,64331776.0
22-08 23:04:44,80.303,14.141,2.020,1.010,0.0,2.525,32841728.0,2686976.0,0.0,0.0,0.0,0.0,6924.0,16304.0,432328704.0,37064704.0,498708480.0,79421440.0
22-08 23:04:45,80.500,13.500,2.0,1.500,0.0,2.500,29392896.0,2351104.0,0.0,0.0,0.0,0.0,7300.0,17615.0,438280192.0,37269504.0,498130944.0,73842688.0
22-08 23:04:46,80.303,15.152,1.515,0.505,0.0,2.525,28114944.0,2826240.0,0.0,0.0,0.0,0.0,6707.0,16862.0,446414848.0,37507072.0,499109888.0,64491520.0
22-08 23:04:47,79.602,13.433,2.488,0.498,0.0,3.980,33341440.0,2637824.0,0.0,0.0,0.0,0.0,7957.0,18354.0,456871936.0,37736448.0,487223296.0,65691648.0
22-08 23:04:48,81.122,14.796,1.020,1.020,0.0,2.041,30105600.0,29253632.0,0.0,0.0,0.0,0.0,8701.0,18734.0,460582912.0,37957632.0,475312128.0,73670656.0
22-08 23:04:49,81.0,13.500,1.500,0.500,0.0,3.500,32751616.0,27688960.0,0.0,0.0,0.0,0.0,6735.0,17147.0,465301504.0,38182912.0,472150016.0,71888896.0
22-08 23:04:50,81.407,11.558,2.513,1.508,0.0,3.015,27713536.0,3178496.0,0.0,0.0,0.0,0.0,8186.0,18476.0,472342528.0,38432768.0,458989568.0,77758464.0
22-08 23:04:51,80.513,13.846,2.564,1.026,0.0,2.051,29368320.0,3653632.0,170.0,94.0,0.0,0.0,8114.0,17834.0,482328576.0,38682624.0,464072704.0,62439424.0
22-08 23:04:52,81.726,13.198,1.523,0.0,0.0,3.553,18604032.0,3170304.0,0.0,0.0,0.0,0.0,7685.0,18499.0,484401152.0,38920192.0,440766464.0,83435520.0
22-08 23:04:53,82.915,13.065,1.508,1.005,0.0,1.508,24158208.0,2498560.0,0.0,0.0,0.0,0.0,8105.0,18092.0,495919104.0,39145472.0,439480320.0,72978432.0
22-08 23:04:54,79.0,14.500,2.0,0.500,0.0,4.0,26042368.0,3129344.0,0.0,0.0,0.0,0.0,8541.0,19779.0,502915072.0,39407616.0,441069568.0,64131072.0
22-08 23:04:55,82.0,13.500,1.0,0.500,0.0,3.0,22929408.0,2555904.0,0.0,0.0,0.0,0.0,6418.0,16238.0,508903424.0,39608320.0,432181248.0,66830336.0
22-08 23:04:56,79.397,14.573,1.508,2.010,0.0,2.513,30064640.0,49201152.0,0.0,0.0,0.0,0.0,7596.0,16763.0,517783552.0,39862272.0,421040128.0,68837376.0
22-08 23:04:57,83.163,12.245,1.020,0.510,0.0,3.061,23552000.0,2228224.0,0.0,0.0,0.0,0.0,7983.0,18188.0,522997760.0,40038400.0,420573184.0,63913984.0
22-08 23:04:58,80.905,14.070,2.513,0.503,0.0,2.010,35323904.0,2555904.0,0.0,0.0,0.0,0.0,7653.0,18078.0,530874368.0,40267776.0,398991360.0,77389824.0
22-08 23:04:59,81.500,14.0,1.500,1.0,0.0,2.0,30236672.0,2555904.0,0.0,0.0,0.0,0.0,8263.0,19094.0,536047616.0,40476672.0,398622720.0,72376320.0
22-08 23:05:00,85.641,10.256,1.538,0.0,0.0,2.564,18800640.0,2473984.0,0.0,0.0,0.0,0.0,7736.0,18726.0,540831744.0,40689664.0,394457088.0,71544832.0
22-08 23:05:01,79.500,14.500,2.500,1.0,0.0,2.500,20168704.0,2473984.0,0.0,0.0,0.0,0.0,7827.0,18565.0,546390016.0,40906752.0,389066752.0,71159808.0
22-08 23:05:02,83.077,12.308,1.538,0.0,0.0,3.077,31956992.0,9969664.0,60.0,42.0,0.0,0.0,7552.0,18337.0,552501248.0,41078784.0,379166720.0,74776576.0
22-08 23:05:03,83.500,12.500,1.500,0.500,0.0,2.0,24190976.0,38191104.0,0.0,0.0,0.0,0.0,8296.0,19927.0,557854720.0,41226240.0,377315328.0,71127040.0
22-08 23:05:04,83.920,10.553,2.010,0.503,0.0,3.015,29106176.0,2768896.0,0.0,0.0,0.0,0.0,7786.0,17870.0,559681536.0,41291776.0,383537152.0,63012864.0
22-08 23:05:05,81.218,15.228,1.523,0.0,0.0,2.030,24657920.0,2203648.0,0.0,0.0,0.0,0.0,6723.0,16897.0,566861824.0,39092224.0,374321152.0,67248128.0
22-08 23:05:06,81.313,13.131,2.525,1.010,0.0,2.020,28090368.0,2883584.0,0.0,0.0,0.0,0.0,7289.0,17513.0,570359808.0,39346176.0,366993408.0,70823936.0
22-08 23:05:07,84.848,10.101,1.010,0.0,0.0,4.040,13967360.0,2293760.0,0.0,0.0,0.0,0.0,6995.0,16772.0,571961344.0,38858752.0,368267264.0,68435968.0
22-08 23:05:08,81.818,12.626,1.010,0.0,0.0,4.545,24920064.0,2695168.0,0.0,0.0,0.0,0.0,8052.0,18396.0,571834368.0,38223872.0,360083456.0,77381632.0
22-08 23:05:09,81.818,12.121,1.515,1.010,0.0,3.535,22298624.0,42573824.0,0.0,0.0,0.0,0.0,8211.0,18730.0,580472832.0,37347328.0,350826496.0,78876672.0
22-08 23:05:10,83.417,11.558,1.508,0.503,0.0,3.015,25550848.0,2564096.0,0.0,0.0,0.0,0.0,6637.0,16213.0,584286208.0,37429248.0,355835904.0,69971968.0
22-08 23:05:11,80.203,13.198,2.030,0.508,0.0,4.061,15433728.0,2998272.0,0.0,0.0,0.0,0.0,8360.0,18737.0,585457664.0,36966400.0,357376000.0,67723264.0
22-08 23:05:12,85.128,9.744,1.026,0.0,0.0,4.103,20504576.0,3760128.0,0.0,0.0,0.0,0.0,9071.0,20004.0,592429056.0,37183488.0,341454848.0,76455936.0
22-08 23:05:13,80.597,14.428,1.493,0.498,0.0,2.985,24297472.0,2973696.0,0.0,0.0,0.0,0.0,8355.0,19403.0,593891328.0,37470208.0,343687168.0,72474624.0
22-08 23:05:14,80.808,15.152,0.505,1.010,0.0,2.525,17342464.0,40730624.0,0.0,0.0,0.0,0.0,8250.0,19005.0,600064000.0,37695488.0,338640896.0,71122944.0
22-08 23:05:15,77.889,16.080,2.010,0.503,0.0,3.518,21364736.0,2654208.0,0.0,0.0,0.0,0.0,7906.0,17732.0,601415680.0,37945344.0,337997824.0,70164480.0
22-08 23:05:16,78.500,16.0,1.0,0.500,0.0,4.0,17162240.0,2752512.0,0.0,0.0,0.0,0.0,7904.0,18310.0,601305088.0,38191104.0,331788288.0,76238848.0
22-08 23:05:17,86.567,9.950,1.493,0.0,0.0,1.990,19922944.0,39116800.0,0.0,0.0,0.0,0.0,7401.0,16987.0,609165312.0,38383616.0,314122240.0,85852160.0
22-08 23:05:18,81.313,14.646,1.010,0.505,0.0,2.525,36036608.0,2727936.0,0.0,0.0,0.0,0.0,7724.0,18413.0,612339712.0,38633472.0,325005312.0,71544832.0
22-08 23:05:19,84.343,11.616,1.515,0.505,0.0,2.020,13910016.0,2744320.0,0.0,0.0,0.0,0.0,8511.0,18779.0,612503552.0,38871040.0,333635584.0,62513152.0
22-08 23:05:20,81.407,14.070,0.503,0.503,0.0,3.518,13762560.0,2260992.0,0.0,0.0,0.0,0.0,8157.0,19084.0,618541056.0,38350848.0,324931584.0,65699840.0
22-08 23:05:21,81.218,14.721,1.015,0.0,0.0,3.046,24223744.0,2932736.0,170.0,94.0,0.0,0.0,7384.0,17598.0,618704896.0,35246080.0,325410816.0,68161536.0
